"date","productionValue"
2014-08-10,94.8009677419355
2014-08-11,94.8177419354839
2014-08-12,94.8345161290323
2014-08-13,94.8512903225807
2014-08-14,94.868064516129
2014-08-15,94.8848387096774
2014-08-16,94.9016129032258
2014-08-17,94.9183870967742
2014-08-18,94.9351612903226
2014-08-19,94.951935483871
2014-08-20,94.9687096774194
2014-08-21,94.9854838709677
2014-08-22,95.0022580645161
2014-08-23,95.0190322580645
2014-08-24,95.0358064516129
2014-08-25,95.0525806451613
2014-08-26,95.0693548387097
2014-08-27,95.0861290322581
2014-08-28,95.1029032258065
2014-08-29,95.1196774193548
2014-08-30,95.1364516129032
2014-08-31,95.1532258064516
2014-09-01,95.17
2014-09-02,95.2096666666667
2014-09-03,95.2493333333333
2014-09-04,95.289
2014-09-05,95.3286666666667
2014-09-06,95.3683333333333
2014-09-07,95.408
2014-09-08,95.4476666666667
2014-09-09,95.4873333333333
2014-09-10,95.527
2014-09-11,95.5666666666667
2014-09-12,95.6063333333333
2014-09-13,95.646
2014-09-14,95.6856666666667
2014-09-15,95.7253333333333
2014-09-16,95.765
2014-09-17,95.8046666666667
2014-09-18,95.8443333333333
2014-09-19,95.884
2014-09-20,95.9236666666667
2014-09-21,95.9633333333333
2014-09-22,96.003
2014-09-23,96.0426666666667
2014-09-24,96.0823333333333
2014-09-25,96.122
2014-09-26,96.1616666666667
2014-09-27,96.2013333333333
2014-09-28,96.241
2014-09-29,96.2806666666667
2014-09-30,96.3203333333333
2014-10-01,96.36
2014-10-02,96.3435483870968
2014-10-03,96.3270967741935
2014-10-04,96.3106451612903
2014-10-05,96.2941935483871
2014-10-06,96.2777419354839
2014-10-07,96.2612903225806
2014-10-08,96.2448387096774
2014-10-09,96.2283870967742
2014-10-10,96.211935483871
2014-10-11,96.1954838709677
2014-10-12,96.1790322580645
2014-10-13,96.1625806451613
2014-10-14,96.1461290322581
2014-10-15,96.1296774193548
2014-10-16,96.1132258064516
2014-10-17,96.0967741935484
2014-10-18,96.0803225806452
2014-10-19,96.0638709677419
2014-10-20,96.0474193548387
2014-10-21,96.0309677419355
2014-10-22,96.0145161290323
2014-10-23,95.998064516129
2014-10-24,95.9816129032258
2014-10-25,95.9651612903226
2014-10-26,95.9487096774193
2014-10-27,95.9322580645161
2014-10-28,95.9158064516129
2014-10-29,95.8993548387097
2014-10-30,95.8829032258064
2014-10-31,95.8664516129032
2014-11-01,95.85
2014-11-02,95.874
2014-11-03,95.898
2014-11-04,95.922
2014-11-05,95.946
2014-11-06,95.97
2014-11-07,95.994
2014-11-08,96.018
2014-11-09,96.042
2014-11-10,96.066
2014-11-11,96.09
2014-11-12,96.114
2014-11-13,96.138
2014-11-14,96.162
2014-11-15,96.186
2014-11-16,96.21
2014-11-17,96.234
2014-11-18,96.258
2014-11-19,96.282
2014-11-20,96.306
2014-11-21,96.33
2014-11-22,96.354
2014-11-23,96.378
2014-11-24,96.402
2014-11-25,96.426
2014-11-26,96.45
2014-11-27,96.474
2014-11-28,96.498
2014-11-29,96.522
2014-11-30,96.546
2014-12-01,96.57
2014-12-02,96.5322580645161
2014-12-03,96.4945161290322
2014-12-04,96.4567741935484
2014-12-05,96.4190322580645
2014-12-06,96.3812903225806
2014-12-07,96.3435483870968
2014-12-08,96.3058064516129
2014-12-09,96.268064516129
2014-12-10,96.2303225806452
2014-12-11,96.1925806451613
2014-12-12,96.1548387096774
2014-12-13,96.1170967741935
2014-12-14,96.0793548387097
2014-12-15,96.0416129032258
2014-12-16,96.0038709677419
2014-12-17,95.9661290322581
2014-12-18,95.9283870967742
2014-12-19,95.8906451612903
2014-12-20,95.8529032258065
2014-12-21,95.8151612903226
2014-12-22,95.7774193548387
2014-12-23,95.7396774193548
2014-12-24,95.701935483871
2014-12-25,95.6641935483871
2014-12-26,95.6264516129032
2014-12-27,95.5887096774194
2014-12-28,95.5509677419355
2014-12-29,95.5132258064516
2014-12-30,95.4754838709678
2014-12-31,95.4377419354839
2015-01-01,95.4
2015-01-02,95.3961290322581
2015-01-03,95.3922580645161
2015-01-04,95.3883870967742
2015-01-05,95.3845161290323
2015-01-06,95.3806451612903
2015-01-07,95.3767741935484
2015-01-08,95.3729032258065
2015-01-09,95.3690322580645
2015-01-10,95.3651612903226
2015-01-11,95.3612903225806
2015-01-12,95.3574193548387
2015-01-13,95.3535483870968
2015-01-14,95.3496774193548
2015-01-15,95.3458064516129
2015-01-16,95.341935483871
2015-01-17,95.338064516129
2015-01-18,95.3341935483871
2015-01-19,95.3303225806452
2015-01-20,95.3264516129032
2015-01-21,95.3225806451613
2015-01-22,95.3187096774194
2015-01-23,95.3148387096774
2015-01-24,95.3109677419355
2015-01-25,95.3070967741936
2015-01-26,95.3032258064516
2015-01-27,95.2993548387097
2015-01-28,95.2954838709677
2015-01-29,95.2916129032258
2015-01-30,95.2877419354839
2015-01-31,95.2838709677419
2015-02-01,95.28
2015-02-02,95.3178571428572
2015-02-03,95.3557142857143
2015-02-04,95.3935714285714
2015-02-05,95.4314285714286
2015-02-06,95.4692857142857
2015-02-07,95.5071428571429
2015-02-08,95.545
2015-02-09,95.5828571428572
2015-02-10,95.6207142857143
2015-02-11,95.6585714285714
2015-02-12,95.6964285714286
2015-02-13,95.7342857142857
2015-02-14,95.7721428571429
2015-02-15,95.81
2015-02-16,95.8478571428572
2015-02-17,95.8857142857143
2015-02-18,95.9235714285714
2015-02-19,95.9614285714286
2015-02-20,95.9992857142857
2015-02-21,96.0371428571429
2015-02-22,96.075
2015-02-23,96.1128571428572
2015-02-24,96.1507142857143
2015-02-25,96.1885714285714
2015-02-26,96.2264285714286
2015-02-27,96.2642857142857
2015-02-28,96.3021428571429
2015-03-01,96.34
2015-03-02,96.3429032258065
2015-03-03,96.3458064516129
2015-03-04,96.3487096774194
2015-03-05,96.3516129032258
2015-03-06,96.3545161290323
2015-03-07,96.3574193548387
2015-03-08,96.3603225806452
2015-03-09,96.3632258064516
2015-03-10,96.3661290322581
2015-03-11,96.3690322580645
2015-03-12,96.371935483871
2015-03-13,96.3748387096774
2015-03-14,96.3777419354839
2015-03-15,96.3806451612903
2015-03-16,96.3835483870968
2015-03-17,96.3864516129032
2015-03-18,96.3893548387097
2015-03-19,96.3922580645161
2015-03-20,96.3951612903226
2015-03-21,96.398064516129
2015-03-22,96.4009677419355
2015-03-23,96.4038709677419
2015-03-24,96.4067741935484
2015-03-25,96.4096774193548
2015-03-26,96.4125806451613
2015-03-27,96.4154838709677
2015-03-28,96.4183870967742
2015-03-29,96.4212903225806
2015-03-30,96.4241935483871
2015-03-31,96.4270967741936
2015-04-01,96.43
2015-04-02,96.4383333333333
2015-04-03,96.4466666666667
2015-04-04,96.455
2015-04-05,96.4633333333333
2015-04-06,96.4716666666667
2015-04-07,96.48
2015-04-08,96.4883333333333
2015-04-09,96.4966666666667
2015-04-10,96.505
2015-04-11,96.5133333333333
2015-04-12,96.5216666666667
2015-04-13,96.53
2015-04-14,96.5383333333333
2015-04-15,96.5466666666667
2015-04-16,96.555
2015-04-17,96.5633333333333
2015-04-18,96.5716666666667
2015-04-19,96.58
2015-04-20,96.5883333333333
2015-04-21,96.5966666666667
2015-04-22,96.605
2015-04-23,96.6133333333333
2015-04-24,96.6216666666667
2015-04-25,96.63
2015-04-26,96.6383333333333
2015-04-27,96.6466666666667
2015-04-28,96.655
2015-04-29,96.6633333333333
2015-04-30,96.6716666666667
2015-05-01,96.68
2015-05-02,96.6974193548387
2015-05-03,96.7148387096774
2015-05-04,96.7322580645161
2015-05-05,96.7496774193548
2015-05-06,96.7670967741935
2015-05-07,96.7845161290323
2015-05-08,96.801935483871
2015-05-09,96.8193548387097
2015-05-10,96.8367741935484
2015-05-11,96.8541935483871
2015-05-12,96.8716129032258
2015-05-13,96.8890322580645
2015-05-14,96.9064516129032
2015-05-15,96.9238709677419
2015-05-16,96.9412903225806
2015-05-17,96.9587096774194
2015-05-18,96.9761290322581
2015-05-19,96.9935483870968
2015-05-20,97.0109677419355
2015-05-21,97.0283870967742
2015-05-22,97.0458064516129
2015-05-23,97.0632258064516
2015-05-24,97.0806451612903
2015-05-25,97.098064516129
2015-05-26,97.1154838709677
2015-05-27,97.1329032258065
2015-05-28,97.1503225806452
2015-05-29,97.1677419354839
2015-05-30,97.1851612903226
2015-05-31,97.2025806451613
2015-06-01,97.22
2015-06-02,97.2393333333333
2015-06-03,97.2586666666667
2015-06-04,97.278
2015-06-05,97.2973333333333
2015-06-06,97.3166666666667
2015-06-07,97.336
2015-06-08,97.3553333333333
2015-06-09,97.3746666666667
2015-06-10,97.394
2015-06-11,97.4133333333333
2015-06-12,97.4326666666667
2015-06-13,97.452
2015-06-14,97.4713333333333
2015-06-15,97.4906666666667
2015-06-16,97.51
2015-06-17,97.5293333333333
2015-06-18,97.5486666666667
2015-06-19,97.568
2015-06-20,97.5873333333333
2015-06-21,97.6066666666667
2015-06-22,97.626
2015-06-23,97.6453333333333
2015-06-24,97.6646666666667
2015-06-25,97.684
2015-06-26,97.7033333333333
2015-06-27,97.7226666666667
2015-06-28,97.742
