commodity|prediction_date|date|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|yhat|sell|buy
oil|2020-10-13|2015-07-27|54.815049577378105|44.343781164714386|55.04820661619226|54.815049577378105|54.815049577378105|-5.424299305663621|-5.424299305663621|-5.424299305663621|49.39075027171448|57.80061694700188|42.12659210647867
oil|2020-10-13|2015-07-28|54.7984354268583|43.54757740778373|54.30316732605748|54.7984354268583|54.7984354268583|-5.517106878591151|-5.517106878591151|-5.517106878591151|49.28132854826715|57.01832569236036|41.370198537394536
oil|2020-10-13|2015-07-29|54.78182127633848|43.78010854117515|55.103475276762765|54.78182127633848|54.78182127633848|-5.615280379663862|-5.615280379663862|-5.615280379663862|49.16654089667462|57.85864904060091|41.59110311411639
oil|2020-10-13|2015-07-30|54.76520712581868|43.84771500755832|54.663758702627995|54.76520712581868|54.76520712581868|-5.796417503579982|-5.796417503579982|-5.796417503579982|48.968789622238695|57.3969466377594|41.655329257180405
oil|2020-10-13|2015-07-31|54.74859297529886|43.27091360006042|54.10849825822866|54.74859297529886|54.74859297529886|-5.943082794196662|-5.943082794196662|-5.943082794196662|48.8055101811022|56.81392317114009|41.10736792005739
oil|2020-10-13|2015-08-01|54.73197882477905|43.15673688039737|53.857047415991204|54.73197882477905|54.73197882477905|-6.126476287005388|-6.126476287005388|-6.126476287005388|48.60550253777366|56.54989978679077|40.9989000363775
oil|2020-10-13|2015-08-02|54.71536467425924|42.97088262252019|53.84115596855262|54.71536467425924|54.71536467425924|-6.279586943767349|-6.279586943767349|-6.279586943767349|48.43577773049189|56.53321376698025|40.822338491394184
oil|2020-10-13|2015-08-03|54.69875052373943|42.85250073008024|53.737924174239204|54.69875052373943|54.69875052373943|-6.429812254508353|-6.429812254508353|-6.429812254508353|48.26893826923107|56.42482038295117|40.70987569357622
oil|2020-10-13|2015-08-04|54.68213637321962|42.55915646282026|53.899119618672884|54.68213637321962|54.68213637321962|-6.54846953671211|-6.54846953671211|-6.54846953671211|48.13366683650751|56.59407559960653|40.431198639679245
oil|2020-10-13|2015-08-05|54.665522222699806|42.86718298716332|53.63748611406665|54.665522222699806|54.665522222699806|-6.6609680638671005|-6.6609680638671005|-6.6609680638671005|48.004554158832704|56.31936041976998|40.72382383780515
oil|2020-10-13|2015-08-06|54.64890807218001|41.90606876209247|53.01369877921338|54.64890807218001|54.64890807218001|-6.844439141101051|-6.844439141101051|-6.844439141101051|47.80446893107896|55.66438371817405|39.810765323987845
oil|2020-10-13|2015-08-07|54.63229392166019|42.21393410221393|52.83473621996839|54.63229392166019|54.63229392166019|-6.981213235819268|-6.981213235819268|-6.981213235819268|47.651080685840924|55.476473030966815|40.103237397103236
oil|2020-10-13|2015-08-08|54.615679771140385|41.86653524701911|52.79977452200585|54.615679771140385|54.615679771140385|-7.1424988622536585|-7.1424988622536585|-7.1424988622536585|47.473180908886725|55.43976324810614|39.77320848466815
oil|2020-10-13|2015-08-09|54.59906562062057|42.01944938805374|52.21772894299556|54.59906562062057|54.59906562062057|-7.261540511809848|-7.261540511809848|-7.261540511809848|47.33752510881072|54.82861539014534|39.918476918651045
oil|2020-10-13|2015-08-10|54.582451470100764|41.67413655772757|52.56648414811973|54.582451470100764|54.582451470100764|-7.366236805222145|-7.366236805222145|-7.366236805222145|47.21621466487862|55.194808355525716|39.59042972984119
oil|2020-10-13|2015-08-11|54.56583731958096|41.61800027352669|52.07497717363331|54.56583731958096|54.56583731958096|-7.428644354127402|-7.428644354127402|-7.428644354127402|47.13719296545356|54.67872603231498|39.537100259850355
oil|2020-10-13|2015-08-12|54.54922316906114|41.54357618264257|52.396144289491374|54.54922316906114|54.54922316906114|-7.475136581284955|-7.475136581284955|-7.475136581284955|47.074086587776186|55.015951503965944|39.46639737351044
oil|2020-10-13|2015-08-13|54.53260901854133|41.77563250155579|52.44596796858856|54.53260901854133|54.53260901854133|-7.584014891479804|-7.584014891479804|-7.584014891479804|46.948594127061526|55.06826636701799|39.686850876478
oil|2020-10-13|2015-08-14|54.515994868021515|41.457903365065555|52.29381684281655|54.515994868021515|54.515994868021515|-7.638961726075825|-7.638961726075825|-7.638961726075825|46.87703314194569|54.90850768495738|39.38500819681227
oil|2020-10-13|2015-08-15|54.49938071750171|41.25055813676112|51.93269255756954|54.49938071750171|54.49938071750171|-7.712690765240525|-7.712690765240525|-7.712690765240525|46.786689952261185|54.52932718544802|39.188030229923065
oil|2020-10-13|2015-08-16|54.4827665669819|41.197144627677034|51.94080256918858|54.4827665669819|54.4827665669819|-7.7400722603374605|-7.7400722603374605|-7.7400722603374605|46.74269430664444|54.53784269764801|39.13728739629318
oil|2020-10-13|2015-08-17|54.46615241646209|41.249951037798084|52.09177645277068|54.46615241646209|54.46615241646209|-7.750715470427585|-7.750715470427585|-7.750715470427585|46.7154369460345|54.696365275409214|39.18745348590818
oil|2020-10-13|2015-08-18|54.44953826594228|41.558896703592744|52.492854025535074|54.44953826594228|54.44953826594228|-7.718434574673244|-7.718434574673244|-7.718434574673244|46.731103691269034|55.11749672681183|39.48095186841311
oil|2020-10-13|2015-08-19|54.432924115422466|41.18582331969939|52.57806704282609|54.432924115422466|54.432924115422466|-7.671368256689731|-7.671368256689731|-7.671368256689731|46.761555858732734|55.2069703949674|39.126532153714415
oil|2020-10-13|2015-08-20|54.41630996490266|41.38083068121716|52.321161189259335|54.41630996490266|54.41630996490266|-7.689551337036678|-7.689551337036678|-7.689551337036678|46.72675862786598|54.93721924872231|39.311789147156304
oil|2020-10-13|2015-08-21|54.399695814382845|41.44239185111951|52.017081844369756|54.399695814382845|54.399695814382845|-7.65832898189103|-7.65832898189103|-7.65832898189103|46.74136683249181|54.617935936588246|39.37027225856353
oil|2020-10-13|2015-08-22|54.38308166386304|41.04998998181018|51.55304701654559|54.38308166386304|54.38308166386304|-7.651969731209633|-7.651969731209633|-7.651969731209633|46.731111932653405|54.13069936737287|38.99749048271967
oil|2020-10-13|2015-08-23|54.36646751334323|41.65048828203319|51.76729582772692|54.36646751334323|54.36646751334323|-7.606756266046721|-7.606756266046721|-7.606756266046721|46.75971124729651|54.355660619113266|39.567963867931525
oil|2020-10-13|2015-08-24|54.34985336282342|41.14486786773274|51.878906482395266|54.34985336282342|54.34985336282342|-7.553536758879293|-7.553536758879293|-7.553536758879293|46.79631660394412|54.47285180651503|39.0876244743461
oil|2020-10-13|2015-08-25|54.3332392123036|41.457336824819876|52.123095185526715|54.3332392123036|54.3332392123036|-7.4671639580622555|-7.4671639580622555|-7.4671639580622555|46.866075254241345|54.72924994480305|39.38446998357888
oil|2020-10-13|2015-08-26|54.31662506178379|41.60823364695638|52.11886089661334|54.31662506178379|54.31662506178379|-7.376592870394717|-7.376592870394717|-7.376592870394717|46.94003219138907|54.72480394144401|39.527821964608556
oil|2020-10-13|2015-08-27|54.30001091126398|41.4893061151218|51.89067883727563|54.30001091126398|54.30001091126398|-7.362435956780799|-7.362435956780799|-7.362435956780799|46.93757495448318|54.48521277913942|39.41484080936571
oil|2020-10-13|2015-08-28|54.28339676074417|41.54854648077083|52.2961902808609|54.28339676074417|54.28339676074417|-7.310366764483966|-7.310366764483966|-7.310366764483966|46.9730299962602|54.910999794903944|39.471119156732286
