ds|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|dollarindex|dollarindex_lower|dollarindex_upper|extra_regressors_additive|extra_regressors_additive_lower|extra_regressors_additive_upper|weekly|weekly_lower|weekly_upper|multiplicative_terms|multiplicative_terms_lower|multiplicative_terms_upper|yhat
2021-06-07|40.013129146163344|28.383828027279908|39.033743394090116|40.013129146163344|40.013129146163344|-6.407829090782161|-6.407829090782161|-6.407829090782161|-6.707696083025645|-6.707696083025645|-6.707696083025645|-6.707696083025645|-6.707696083025645|-6.707696083025645|0.2998669922434847|0.2998669922434847|0.2998669922434847|0.0|0.0|0.0|33.605300055381186
2021-06-08|39.95148919928475|28.05385349591253|38.96846719706521|39.95148919928475|39.95148919928475|-6.4461458417806625|-6.4461458417806625|-6.4461458417806625|-6.582563408423173|-6.582563408423173|-6.582563408423173|-6.582563408423173|-6.582563408423173|-6.582563408423173|0.13641756664251073|0.13641756664251073|0.13641756664251073|0.0|0.0|0.0|33.50534335750409
2021-06-09|39.88984925240617|28.280460216706988|38.856069808067744|39.88984925240617|39.88984925240617|-6.218640651381289|-6.218640651381289|-6.218640651381289|-6.329733598248008|-6.329733598248008|-6.329733598248008|-6.329733598248008|-6.329733598248008|-6.329733598248008|0.11109294686671853|0.11109294686671853|0.11109294686671853|0.0|0.0|0.0|33.67120860102489
2021-06-10|39.828209305527594|28.47650559400337|39.44656262298837|39.828209305527594|39.828209305527594|-6.148862734647039|-6.148862734647039|-6.148862734647039|-6.076312604599532|-6.076312604599532|-6.076312604599532|-6.076312604599532|-6.076312604599532|-6.076312604599532|-0.07255013004750564|-0.07255013004750564|-0.07255013004750564|0.0|0.0|0.0|33.679346570880554
2021-06-11|39.76656935864901|27.952699056921865|39.247414118521846|39.76656935864901|39.76656935864901|-6.1571626539397375|-6.1571626539397375|-6.1571626539397375|-5.759184118606453|-5.759184118606453|-5.759184118606453|-5.759184118606453|-5.759184118606453|-5.759184118606453|-0.39797853533328315|-0.39797853533328315|-0.39797853533328315|0.0|0.0|0.0|33.60940670470927
2021-06-12|39.704929411770415|28.805463854311743|39.44055398127362|39.704929411770415|39.704929411770415|-5.728182034402301|-5.728182034402301|-5.728182034402301|-5.570209794357517|-5.570209794357517|-5.570209794357517|-5.570209794357517|-5.570209794357517|-5.570209794357517|-0.15797224004478408|-0.15797224004478408|-0.15797224004478408|0.0|0.0|0.0|33.97674737736811
2021-06-13|39.64328945994157|29.033394305981076|40.15146807464933|39.64328945994157|39.64328945994157|-5.242244962027428|-5.242244962027428|-5.242244962027428|-5.323368361699815|-5.323368361699815|-5.323368361699815|-5.323368361699815|-5.323368361699815|-5.323368361699815|0.08112339967238756|0.08112339967238756|0.08112339967238756|0.0|0.0|0.0|34.40104449791414
2021-06-14|39.581649508112726|29.189818386707845|40.47957070542079|39.581649508112726|39.581649508112726|-4.732873693728769|-4.732873693728769|-4.732873693728769|-5.032740685972156|-5.032740685972156|-5.032740685972156|-5.032740685972156|-5.032740685972156|-5.032740685972156|0.29986699224338736|0.29986699224338736|0.29986699224338736|0.0|0.0|0.0|34.848775814383956
2021-06-15|39.52000955628388|29.416951476497907|40.341267063829854|39.52000955628388|39.52000955628388|-4.7136005784932475|-4.7136005784932475|-4.7136005784932475|-4.850018145135802|-4.850018145135802|-4.850018145135802|-4.850018145135802|-4.850018145135802|-4.850018145135802|0.13641756664255414|0.13641756664255414|0.13641756664255414|0.0|0.0|0.0|34.80640897779063
2021-06-16|39.458369604455044|29.39559608093182|40.45584675658254|39.458369604455044|39.458369604455044|-4.428505521859568|-4.428505521859568|-4.428505521859568|-4.539598468726571|-4.539598468726571|-4.539598468726571|-4.539598468726571|-4.539598468726571|-4.539598468726571|0.11109294686700383|0.11109294686700383|0.11109294686700383|0.0|0.0|0.0|35.02986408259547
