ds|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|weekly|weekly_lower|weekly_upper|yearly|yearly_lower|yearly_upper|multiplicative_terms|multiplicative_terms_lower|multiplicative_terms_upper|yhat
2015-01-20|93.65513005164175|91.82529724068922|95.23774573473989|93.65513005164175|93.65513005164175|-0.1931330921712099|-0.1931330921712099|-0.1931330921712099|0.0004369352249842997|0.0004369352249842997|0.0004369352249842997|-0.19357002739619422|-0.19357002739619422|-0.19357002739619422|0.0|0.0|0.0|93.46199695947054
2015-01-21|93.67718566943188|91.84919429110808|95.01174027426399|93.67718566943188|93.67718566943188|-0.20060628978212935|-0.20060628978212935|-0.20060628978212935|0.0071516177798664066|0.0071516177798664066|0.0071516177798664066|-0.20775790756199577|-0.20775790756199577|-0.20775790756199577|0.0|0.0|0.0|93.47657937964975
2015-01-22|93.69924128722201|91.81882016562543|95.22646485789654|93.69924128722201|93.69924128722201|-0.23165954604196953|-0.23165954604196953|-0.23165954604196953|-0.010512393059583987|-0.010512393059583987|-0.010512393059583987|-0.22114715298238555|-0.22114715298238555|-0.22114715298238555|0.0|0.0|0.0|93.46758174118004
2015-01-23|93.72129690501215|91.85994135393345|95.06451413482982|93.72129690501215|93.72129690501215|-0.22505702228304264|-0.22505702228304264|-0.22505702228304264|0.008731578629695211|0.008731578629695211|0.008731578629695211|-0.23378860091273787|-0.23378860091273787|-0.23378860091273787|0.0|0.0|0.0|93.49623988272911
2015-01-24|93.74335252280228|91.84040838204571|95.25974753145687|93.74335252280228|93.74335252280228|-0.24193319247113884|-0.24193319247113884|-0.24193319247113884|0.0038001439946586534|0.0038001439946586534|0.0038001439946586534|-0.24573333646579748|-0.24573333646579748|-0.24573333646579748|0.0|0.0|0.0|93.50141933033115
2015-01-25|93.76540814059241|91.79649764886156|95.11556088651824|93.76540814059241|93.76540814059241|-0.26209149755505456|-0.26209149755505456|-0.26209149755505456|-0.005063716435041408|-0.005063716435041408|-0.005063716435041408|-0.2570277811200132|-0.2570277811200132|-0.2570277811200132|0.0|0.0|0.0|93.50331664303737
2015-01-26|93.78746375838254|91.93574447763594|95.20312817982376|93.78746375838253|93.78746375838253|-0.2722533256245813|-0.2722533256245813|-0.2722533256245813|-0.004544166134640775|-0.004544166134640775|-0.004544166134640775|-0.2677091594899405|-0.2677091594899405|-0.2677091594899405|0.0|0.0|0.0|93.51521043275797
2015-01-27|93.80951937617269|91.8915659610947|95.17798106764637|93.80951937617269|93.80951937617269|-0.2773645898552273|-0.2773645898552273|-0.2773645898552273|0.0004369352249530754|0.0004369352249530754|0.0004369352249530754|-0.2778015250801804|-0.2778015250801804|-0.2778015250801804|0.0|0.0|0.0|93.53215478631746
2015-01-28|93.83157499396282|91.75395996979897|95.07376570908002|93.83157499396282|93.83157499396282|-0.28016088739486733|-0.28016088739486733|-0.28016088739486733|0.007151617779868732|0.007151617779868732|0.007151617779868732|-0.28731250517473605|-0.28731250517473605|-0.28731250517473605|0.0|0.0|0.0|93.55141410656795
2015-01-29|93.85363061175295|91.88983986374308|95.19160462876962|93.85363061175295|93.85363061175295|-0.3067432921162723|-0.3067432921162723|-0.3067432921162723|-0.010512393059581836|-0.010512393059581836|-0.010512393059581836|-0.29623089905669053|-0.29623089905669053|-0.29623089905669053|0.0|0.0|0.0|93.54688731963668
2015-01-30|93.87568622954308|91.88322067061996|95.16211995069906|93.87568622954308|93.87568622954308|-0.2957936546106028|-0.2957936546106028|-0.2957936546106028|0.008731578629698243|0.008731578629698243|0.008731578629698243|-0.304525233240301|-0.304525233240301|-0.304525233240301|0.0|0.0|0.0|93.57989257493247
2015-01-31|93.89774184733321|91.96785886118623|95.2285267958858|93.89774184733321|93.89774184733321|-0.3083431993097595|-0.3083431993097595|-0.3083431993097595|0.0038001439946612333|0.0038001439946612333|0.0038001439946612333|-0.3121433433044208|-0.3121433433044208|-0.3121433433044208|0.0|0.0|0.0|93.58939864802345
2015-02-01|93.91979746512335|91.78046809220315|95.26839758389818|93.91979746512335|93.91979746512335|-0.3240767317671797|-0.3240767317671797|-0.3240767317671797|-0.005063716434994714|-0.005063716434994714|-0.005063716434994714|-0.319013015332185|-0.319013015332185|-0.319013015332185|0.0|0.0|0.0|93.59572073335617
2015-02-02|93.94185308291348|91.99298875051794|95.30854949218971|93.94185308291348|93.94185308291348|-0.3295878481918411|-0.3295878481918411|-0.3295878481918411|-0.004544166134604585|-0.004544166134604585|-0.004544166134604585|-0.32504368205723655|-0.32504368205723655|-0.32504368205723655|0.0|0.0|0.0|93.61226523472165
2015-02-03|93.96390870070361|92.04607574635673|95.39996654214627|93.96390870070361|93.96390870070361|-0.329692195583694|-0.329692195583694|-0.329692195583694|0.00043693522496724536|0.00043693522496724536|0.00043693522496724536|-0.3301291308086612|-0.3301291308086612|-0.3301291308086612|0.0|0.0|0.0|93.63421650511992
2015-02-04|93.98596431849374|92.10575786810459|95.39515135653306|93.98596431849374|93.98596431849374|-0.3269995256781959|-0.3269995256781959|-0.3269995256781959|0.007151617779878024|0.007151617779878024|0.007151617779878024|-0.3341511434580739|-0.3341511434580739|-0.3341511434580739|0.0|0.0|0.0|93.65896479281555
2015-02-05|94.00801993628387|91.91149346116485|95.36654865449943|94.00801993628387|94.00801993628387|-0.3474963470621315|-0.3474963470621315|-0.3474963470621315|-0.010512393059579683|-0.010512393059579683|-0.010512393059579683|-0.33698395400255177|-0.33698395400255177|-0.33698395400255177|0.0|0.0|0.0|93.66052358922174
2015-02-06|94.03007555407402|92.05933978282268|95.37544340623947|94.03007555407402|94.03007555407402|-0.3297677996608073|-0.3297677996608073|-0.3297677996608073|0.008731578629723945|0.008731578629723945|0.008731578629723945|-0.3384993782905313|-0.3384993782905313|-0.3384993782905313|0.0|0.0|0.0|93.7003077544132
2015-02-07|94.05213117186416|91.95268781690645|95.47476766525286|94.05213117186416|94.05213117186416|-0.33477229975636924|-0.33477229975636924|-0.33477229975636924|0.003800143994663811|0.003800143994663811|0.003800143994663811|-0.33857244375103307|-0.33857244375103307|-0.33857244375103307|0.0|0.0|0.0|93.7173588721078
2015-02-08|94.07418678965428|92.05372447813474|95.25907090849051|94.07418678965428|94.07418678965428|-0.34215104214326114|-0.34215104214326114|-0.34215104214326114|-0.00506371643494802|-0.00506371643494802|-0.00506371643494802|-0.3370873257083132|-0.3370873257083132|-0.3370873257083132|0.0|0.0|0.0|93.73203574751102
2015-02-09|94.09624240744441|92.18279217430246|95.4222768404027|94.09624240744441|94.09624240744441|-0.33848754782987833|-0.33848754782987833|-0.33848754782987833|-0.0045441661346280774|-0.0045441661346280774|-0.0045441661346280774|-0.33394338169525023|-0.33394338169525023|-0.33394338169525023|0.0|0.0|0.0|93.75775485961452
2015-02-10|94.11829802523455|92.1372973825343|95.45878288511959|94.11829802523457|94.11829802523457|-0.3286241314463877|-0.3286241314463877|-0.3286241314463877|0.0004369352249654207|0.0004369352249654207|0.0004369352249654207|-0.3290610666713532|-0.3290610666713532|-0.3290610666713532|0.0|0.0|0.0|93.78967389378816
2015-02-11|94.14035364302468|92.23854042759172|95.5084603726669|94.14035364302468|94.14035364302468|-0.3152358927663437|-0.3152358927663437|-0.3152358927663437|0.0071516177798603385|0.0071516177798603385|0.0071516177798603385|-0.32238751054620396|-0.32238751054620396|-0.32238751054620396|0.0|0.0|0.0|93.82511775025834
2015-02-12|94.16240926081481|92.15296260871132|95.61820205150156|94.16240926081481|94.16240926081481|-0.3244139381111559|-0.3244139381111559|-0.3244139381111559|-0.010512393059582624|-0.010512393059582624|-0.010512393059582624|-0.31390154505157325|-0.31390154505157325|-0.31390154505157325|0.0|0.0|0.0|93.83799532270366
2015-02-13|94.18446487860494|92.18415962446738|95.57390821213009|94.18446487860494|94.18446487860494|-0.29488640106959974|-0.29488640106959974|-0.29488640106959974|0.008731578629681748|0.008731578629681748|0.008731578629681748|-0.3036179796992815|-0.3036179796992815|-0.3036179796992815|0.0|0.0|0.0|93.88957847753534
2015-02-14|94.20652049639507|92.25671606741925|95.55848890310229|94.20652049639507|94.20652049639507|-0.2877908020130561|-0.2877908020130561|-0.2877908020130561|0.0038001439946459483|0.0038001439946459483|0.0038001439946459483|-0.29159094600770213|-0.29159094600770213|-0.29159094600770213|0.0|0.0|0.0|93.91872969438202
2015-02-15|94.22857611418522|92.36732738487783|95.69829407639928|94.22857611418522|94.22857611418522|-0.2829798712918919|-0.2829798712918919|-0.2829798712918919|-0.005063716435007516|-0.005063716435007516|-0.005063716435007516|-0.27791615485688437|-0.27791615485688437|-0.27791615485688437|0.0|0.0|0.0|93.94559624289333
2015-02-16|94.25063173197535|92.3120872205447|95.65809219040013|94.25063173197535|94.25063173197535|-0.26727610916235245|-0.26727610916235245|-0.26727610916235245|-0.00454416613461208|-0.00454416613461208|-0.00454416613461208|-0.2627319430277404|-0.2627319430277404|-0.2627319430277404|0.0|0.0|0.0|93.983355622813
2015-02-17|94.27268734976548|92.3588898136309|95.66023785308425|94.27268734976548|94.27268734976548|-0.2457820855738565|-0.2457820855738565|-0.2457820855738565|0.0004369352249635967|0.0004369352249635967|0.0004369352249635967|-0.24621902079882016|-0.24621902079882016|-0.24621902079882016|0.0|0.0|0.0|94.02690526419163
2015-02-18|94.2947429675556|92.42026209238847|95.70752692887598|94.2947429675556|94.2947429675556|-0.22144725408980537|-0.22144725408980537|-0.22144725408980537|0.007151617779896163|0.007151617779896163|0.007151617779896163|-0.22859887186970151|-0.22859887186970151|-0.22859887186970151|0.0|0.0|0.0|94.0732957134658
2015-02-19|94.31679858534574|92.47776005764177|95.78909910323534|94.31679858534574|94.31679858534574|-0.22064319174525082|-0.22064319174525082|-0.22064319174525082|-0.010512393059578113|-0.010512393059578113|-0.010512393059578113|-0.2101307986856727|-0.2101307986856727|-0.2101307986856727|0.0|0.0|0.0|94.09615539360048
2015-02-20|94.33885420313588|92.54877446876601|95.91289732174273|94.33885420313588|94.33885420313588|-0.18237607056471064|-0.18237607056471064|-0.18237607056471064|0.00873157862970745|0.00873157862970745|0.00873157862970745|-0.1911076491944181|-0.1911076491944181|-0.1911076491944181|0.0|0.0|0.0|94.15647813257117
