"date","productionChange","oilPrice","wheat","corn","worldConsumptionChange","dollarindex","oilInventory","naturalGas","nonoecdConsumptionGrowth","nonoecdGDPGrowth","nonopecDisruption","oecdConsumptionChange","opecDisruption","spareCapacity","soy","capacityPercentChange","volatility","worldGDPChange","consumptionValue","productionValue","oilRigs","dgorder","neworder","meanCoal"
2012-06-22,0.00395604395604396,79.76,6.7325,5.91,0.0114285714285714,82.220001,1772266,3.434,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.96989010989011,14.425,0.0117582417582418,35.08,0.039010989010989,91.146,90.961,1952.4,222154.8,65669.9,43.4614285714286
2012-06-23,0.00395604395604396,79.5766666666667,6.9025,6.04333333333333,0.0114285714285714,82.3000003333333,1771683.85714286,3.45133333333333,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.96879120879121,14.5583333333333,0.0117582417582418,35.6666666666667,0.039010989010989,91.1753333333333,90.9753333333333,1951.46666666667,222323.933333333,65607.4666666667,43.5071428571429
2012-06-24,0.00395604395604396,79.3933333333333,7.0725,6.17666666666667,0.0114285714285714,82.3799996666667,1771101.71428571,3.46866666666667,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.96769230769231,14.6916666666667,0.0117582417582418,36.2533333333333,0.039010989010989,91.2046666666667,90.9896666666667,1950.53333333333,222493.066666667,65545.0333333333,43.5528571428571
2012-06-25,0.00395604395604396,79.21,7.2425,6.31,0.0114285714285714,82.459999,1770519.57142857,3.486,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.96659340659341,14.825,0.0117582417582418,36.84,0.039010989010989,91.234,91.004,1949.6,222662.2,65482.6,43.5985714285714
2012-06-26,0.00395604395604396,79.36,7.326,6.407,0.0114285714285714,82.370003,1769937.42857143,3.50333333333333,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.96549450549451,14.675,0.0117582417582418,34.42,0.039010989010989,91.2633333333333,91.0183333333333,1948.66666666667,222831.333333333,65420.1666666667,43.6442857142857
2012-06-27,0.00395604395604396,80.21,7.397,6.407,0.0114285714285714,82.559998,1769355.28571429,3.52066666666667,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.9643956043956,14.65,0.0117582417582418,33.45,0.039010989010989,91.2926666666667,91.0326666666667,1947.73333333333,223000.466666667,65357.7333333333,43.69
2012-06-28,0.00395604395604396,77.69,7.38,6.3655,0.0114285714285714,82.669998,1768773.14285714,3.538,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.9632967032967,14.5415,0.0117582417582418,34.58,0.039010989010989,91.322,91.047,1946.8,223169.6,65295.3,43.6316666666667
2012-06-29,0.00395604395604396,84.96,7.536,6.373,0.0114285714285714,81.650002,1768191,3.55533333333333,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.9621978021978,14.8795,0.0117582417582418,35,0.039010989010989,91.3513333333333,91.0613333333333,1945.86666666667,223338.733333333,65232.8666666667,43.5733333333333
2012-06-30,0.00395604395604396,84.5566666666667,7.599,6.42283333333333,0.0114285714285714,81.7233356666667,1768590.28571429,3.57266666666667,0.0471428571428571,0.058021978021978,0,-0.0215384615384615,0,1.9610989010989,14.9005,0.0117582417582418,35.46,0.039010989010989,91.3806666666667,91.0756666666667,1944.93333333333,223507.866666667,65170.4333333333,43.515
2012-07-01,0.00395604395604396,84.1533333333333,7.662,6.47266666666667,0.0114285714285714,81.7966693333333,1768989.57142857,3.59,0.0471428571428571,0.058021978021978,0.84,-0.0215384615384615,1.1,1.96,14.9215,0.0117582417582418,35.92,0.039010989010989,91.41,91.09,1944,223677,65108,43.4566666666667
2012-07-02,0.011978021978022,83.75,7.725,6.5225,0.0234065934065934,81.870003,1769388.85714286,3.57225806451613,0.0559340659340659,0.0594505494505495,0,-0.00703296703296703,0,1.96402173913043,14.9425,0.010989010989011,36.38,0.037032967032967,91.4054838709677,91.0929032258065,1943,223013.612903226,65061.6451612903,43.3983333333333
